 3696.00000, 10481.00000, 1566, 28611268,10.0 Wavelength region, lines selected, lines processed, Vmicro
                                                                     Lande factors       Damping parameters  Central
Spec Ion       WL_air(A)  log gf* E_low(eV) J lo E_up(eV)  J up  lower   upper    mean   Rad.   Stark  Waals  depth
'NC+        CNO, Na 1, Mg 1:O+2              4 wl:NIST10   4 gf:NIST10   4 NIST10   4 NIST10   5 KP   5 KP   5 KP   5 KP   4 NIST10'
'S 3',         3709.3660, -2.120, 17.7441,  1.0, 21.0857,  2.0, 99.000, 99.000, 99.000, 9.970, 0.000, 0.000, 0.012,
'  LS                                                            3s2.3p.3d              3P*'
'  LS                                                              3s2.3p.4p             3D'
'_          Li 1 - K 5 Bell S+2              5 wl:WSM   5 gf:WSM   5 WSM   5 WSM   5 WSM   5 WSM   5 WSM   5 WSM   5 WSM'
'O 3',         3709.5430, -0.632, 41.9782,  1.0, 45.3196,  0.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.022,
'  LS                                                           2s.2p2.(4P).3s           5P'
'  LS                                                             2s.2p2.(4P).3p        5D*'
'NC+        CNO, Na 1, Mg 1:O+2              4 wl:NIST10   4 gf:NIST10   4 NIST10   4 NIST10   5 KP   5 KP   5 KP   5 KP   4 NIST10'
'Ne 2',        3709.6222, -0.340, 27.2329,  1.5, 30.5742,  0.5, 99.000, 99.000, 99.000, 0.000,-5.700, 0.000, 0.199,
'  LS                                                        2s2.2p4.(3P).3s             4P'
'  LS                                                        2s2.2p4.(3P).3p            4P*'
'ND         Ne 1-9 NIST dataNe+              2 wl:NIST10   2 gf:NIST10   2 NIST10   2 NIST10   2 NIST10   2 NIST10   5 KP   2 NIST10   2 NIST10'
'He 1',        3709.6490, -2.997, 21.2180,  1.0, 24.5593,  2.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.034,
'  LS                                                            1s.2p                  1P*'
'  LS                                                              1s.22d                1D'
'_          He Kurucz NLTE  He               1 wl:K   1 gf:K   1 K   1 K   1 K   1 K   1 K   1 K   1 K'
'He 2',        3710.4470, -2.047, 51.0168,  3.5, 54.3573,  4.5, 99.000, 99.000, 99.000,10.000, 0.000, 0.000, 0.019,
'                                                                                       n=4'
'                                                                                      n=30'
'_          He Kurucz NLTE  He+              1 wl:CDROM18   1 gf:CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18'
'H 1',         3711.9774, -2.067, 10.1988,  0.5, 13.5380,  1.0, 99.000, 99.000, 99.000, 8.000, 2.000,15.000, 0.288,
'                                                                                       n=2'
'                                                                                      n=15'
'NAAA       NIST+Kurucz HlinH                3 wl:Kra2010   3 gf:Kra2010   3 Kra2010   3 Kra2010   3 Kra2010   3 Kra2010   3 Kra2010   3 Kra2010   3 Kra2010'
'O 3',         3712.4930, -0.167, 41.9937,  2.0, 45.3324,  2.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.044,
'  LS                                                           2s.2p2.(4P).3s           5P'
'  LS                                                             2s.2p2.(4P).3p        5D*'
'NC+        CNO, Na 1, Mg 1:O+2              4 wl:NIST10   4 gf:NIST10   4 NIST10   4 NIST10   5 KP   5 KP   5 KP   5 KP   4 NIST10'
'He 1',        3712.6950, -2.937, 21.2180,  1.0, 24.5566,  2.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.039,
'  LS                                                            1s.2p                  1P*'
'  LS                                                              1s.21d                1D'
'_          He Kurucz NLTE  He               1 wl:K   1 gf:K   1 K   1 K   1 K   1 K   1 K   1 K   1 K'
'O 2',         3712.7410, -0.643, 22.9662,  0.5, 26.3047,  1.5, 99.000, 99.000, 99.000, 8.990, 0.000, 0.000, 0.283,
'  LS                                                           2s2.2p2.(3P).3s          4P'
'  LS                                                             2s2.2p2.(3P).3p       4S*'
'NB         CNO, Na 1, Mg 1:O+               4 wl:NIST10   4 gf:NIST10   4 NIST10   4 NIST10   5 WSG   5 WSG   5 WSG   5 WSG   4 NIST10'
'Ne 2',        3713.0826,  0.210, 27.7832,  1.5, 31.1214,  2.5, 99.000, 99.000, 99.000, 0.000,-5.650, 0.000, 0.296,
'  LS                                                        2s2.2p4.(3P).3s             2P'
'  LS                                                        2s2.2p4.(3P).3p            2D*'
'ND         Ne 1-9 NIST dataNe+              2 wl:NIST10   2 gf:NIST10   2 NIST10   2 NIST10   2 NIST10   2 NIST10   5 KP   2 NIST10   2 NIST10'
'Al 3',        3713.1230, -0.040, 17.8182,  1.5, 21.1563,  0.5, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.065,
'  LS                                                            2p6.4p                 2P*'
'  LS                                                              2p6.5s                2S'
'_          Li 1 - K 5 Bell Al+2             5 wl:KP   5 gf:KP   5 KP   5 KP   5 KP   5 KP   5 KP   5 KP   5 KP'
'Zn 3',        3713.6680,  0.539, 29.5499,  2.0, 32.8876,  3.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.017,
'  LS                                              3d9.4p                               1D*'
'  JK                                                   3d9.(2D<3/2>).5d             2[5/2]'
'_          Cu 1 - Ba 2 BellZn+2             6 wl:KP   6 gf:KP   6 KP   6 KP   6 KP   6 KP   6 KP   6 KP   6 KP'
'O 3',         3714.0280, -0.599, 37.2339,  1.0, 40.5713,  1.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.070,
'  LS                                                           2s2.2p.(2P*).3p          3P'
'  LS                                                             2s2.2p.(2P*).3d       3D*'
'NC+        CNO, Na 1, Mg 1:O+2              4 wl:NIST10   4 gf:NIST10   4 NIST10   4 NIST10   5 KP   5 KP   5 KP   5 KP   4 NIST10'
'O 3',         3715.0860,  0.149, 37.2501,  2.0, 40.5865,  3.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.144,
'  LS                                                           2s2.2p.(2P*).3p          3P'
'  LS                                                             2s2.2p.(2P*).3d       3D*'
'NC+        CNO, Na 1, Mg 1:O+2              4 wl:NIST10   4 gf:NIST10   4 NIST10   4 NIST10   5 KP   5 KP   5 KP   5 KP   4 NIST10'
'He 2',        3715.1660, -2.001, 51.0168,  3.5, 54.3531,  4.5, 99.000, 99.000, 99.000,10.000, 0.000, 0.000, 0.020,
'                                                                                       n=4'
'                                                                                      n=29'
'_          He Kurucz NLTE  He+              1 wl:CDROM18   1 gf:CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18'
'He 1',        3716.2160, -2.873, 21.2180,  1.0, 24.5534,  2.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.044,
